,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,nu,Fluid_Velocity,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.376868898,0.010339723,0.002335244,0.008581805,0.006748509,0.0033,1000,0,0,0.03,1.00E-05,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,T3D1d.66Case,0,-1
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00025,1000,0,0,0.003,1.00E-05,0.01,0.074930646,0.153349534,1.764416337,3.005671713,0.000993464,0.002297947,0.003207963,0.005210527,0.007182147,0.008430031,0.016614763,T.3D0.1d.05Case,500000,FALSE
0,0.451106754,0.006994528,0.002998399,0.008906519,0.006971193,0.00165,1000,0,0,0.0165,1.00E-05,0.01,0.331516176,0.382583141,0.799341917,0.327992549,0.009948762,0.012024868,0.012991494,0.014940007,0.0170033,0.018431257,0.029255697,T1.650D0.66d.330Case,500000,FALSE
0,0.376868898,0.010339723,0.002335244,0.008581805,0.006748509,0.00165,1000,0,0,0.01,1.00E-05,0.01,0.408994704,0.447093785,0.537531257,-0.288045503,0.011242566,0.013789931,0.014857994,0.017024889,0.019361465,0.020975097,0.032997159,T1D1d.33Case,500000,FALSE
0,0.549491903,0.003490589,0.001265723,0.008561619,0.006636852,0.00082,1000,0,0,0.00495,1.00E-05,0.01,0.20764342,0.261263043,1.007502913,0.636409227,0.004171585,0.006797049,0.007831651,0.009852403,0.011830168,0.013137532,0.022532708,T.495D0.33d.165Case,500000,FALSE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00025,1000,0,0,0.0025,1.00E-05,0.01,0.071582168,0.155904606,1.714253545,2.80100912,0.000947194,0.002353623,0.003276782,0.005213521,0.007161216,0.008392398,0.016384113,T.25D0.1d.05Case,500000,FALSE
0,0.376868898,0.010339723,0.002335244,0.008581805,0.006748509,0.0025,1000,0,0,0.02,1.00E-05,0.01,0.414555579,0.44483456,0.668493748,0.30131546,0.013023233,0.015120575,0.016109501,0.018165857,0.02039304,0.021863173,0.033056712,T2D1d.5Case,500000,FALSE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.0005,1000,0,0,0.003,1.00E-05,0.01,0.001704593,0.093898691,2.411019802,5.917349453,0.001182401,0.001345195,0.001457923,0.002016443,0.003616766,0.004854388,0.012883408,T.3D0.1d.1Case,500000,TRUE
0,0.549491903,0.003490589,0.001265723,0.008561619,0.006636852,0.00108,1000,0,0,0.0066,1.00E-05,0.01,0.14068678,0.203360498,1.242098093,1.181646633,0.002720648,0.003572679,0.00444625,0.006759313,0.009116353,0.010631851,0.020429086,T.66D0.33d.2178Case,500000,FALSE
0,0.376868898,0.010339723,0.002335244,0.008581805,0.006748509,0.005,1000,0,0,0.01,1.00E-05,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,T1D1d1Case,15000,-1
