Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,nu,Fluid_Velocity,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged,Particle_Volume,Particle_Mass,particle_diameter_BY_pore_size,particle_diameter_BY_Thickness,particle_diameter_BY_sphere_diameter,pore_size_BY_sphere_diameter,thickness_BY_pore_size,U_scaled,AAND,AWND,Throat_Flux,log(nu),Volume_Fraction,Umedian_BY_Umean,ResTime,U,pore_size_std_BY_pore_size,sphere_size_std_BY_pore_size,D10,D25,D33,D50,D66,D75,D100,Clogging_Number
0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.002,10000,10000,0,0.005,1.00E-05,0.15,0.001889274,0.022899225,4.385673046,22.71631303,0.004168739,0.004331969,0.00443314,0.004688783,0.004989577,0.005205861,0.007188926,aaE10000C10000D0.5dRatio0.8Case,4.16,1,3.35E-08,0.000100531,0.77669541,0.8,0.254993246,0.328305334,0.970869262,6.05E-06,127.5510204,0,19253.69809,-5,0.519380742,0.08250384,0.978,72.42620795,0.22767275,1.627544363,0.15049,0.284390909,0.357865455,0.531118182,0.75193,0.942142727,3.900846364,0.032260132
0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.002,5000,100000,0,0.005,1.00E-05,0.15,0.000897141,0.010450674,7.845112324,72.98969149,0.004172661,0.004335697,0.004435233,0.004689443,0.004990245,0.005202967,0.00727475,aaE100000C5000D0.5dRatio0.8Case,3.59,1,3.35E-08,0.000100531,0.77669541,0.8,0.254993246,0.328305334,0.970869262,1.21E-05,1275.510204,0,9626.849045,-5,0.519380742,0.085845277,6,187.3628153,0.44295661,2.173459245,0.609213415,1.452989024,2.547397561,6.63367561,10.52754512,12.83627805,26.53437317,3.543114956
0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.002,10000,1000,0,0.005,1.00E-05,0.15,0.001827927,0.022919463,4.536603451,24.41399991,0.004162562,0.004328865,0.0044299,0.004690156,0.004996311,0.005213442,0.00747403,aaE1000C10000D0.5dRatio0.8Case,3.98,1,3.35E-08,0.000100531,0.77669541,0.8,0.254993246,0.328305334,0.970869262,6.05E-06,12.75510204,0,19253.69809,-5,0.519380742,0.079754356,0.8172,133.8807569,0.992057896,5.144960133,0.710782222,0.959286667,1.120946667,1.577657778,2.36264,3.124522222,11.54998889,0.293370522
0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.00111,9500,0,0,0.0031,0.01,0,0.044343166,0.11554083,17.98087883,505.327088,0.002315042,0.002408969,0.002464349,0.002603205,0.002766613,0.002884032,0.00448644,nu1e-2C9500U0dRatio0.72Case,3.91,1,5.73E-09,1.72E-05,0.683825554,0.716129032,0.141289988,0.206617005,0.95489154,0,0,0,22438.46488,-2,0.423380122,0.383787844,2.2,135.8724183,0.763722805,3.716720213,0.749534043,2.202674468,4.04513617,8.85542766,13.60907447,16.65448723,35.7536,3.570968592
0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.002,10000,100,0,0.005,1.00E-05,0.15,0.001881376,0.023196304,4.566818714,24.19512681,0.004167525,0.004335125,0.004435587,0.004693316,0.004994681,0.005209204,0.007345852,aaE100C10000D0.5dRatio0.8Case,3.78,1,3.35E-08,0.000100531,0.77669541,0.8,0.254993246,0.328305334,0.970869262,6.05E-06,1.275510204,0,19253.69809,-5,0.519380742,0.081106714,2.115,36.80077605,0.177395344,0.682158469,0.595535758,1.189834545,1.582664848,2.499673333,3.504505455,4.179176364,8.739808485,2.056994126
0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.002,10000,5000,0,0.005,1.00E-05,0.15,0.001818128,0.022523591,4.589892387,24.97377098,0.004165863,0.00433236,0.004435446,0.004693988,0.004997953,0.005214111,0.007315606,aaE5000C10000D0.5dRatio0.8Case,3.8,1,3.35E-08,0.000100531,0.77669541,0.8,0.254993246,0.328305334,0.970869262,6.05E-06,63.7755102,0,19253.69809,-5,0.519380742,0.080721054,0.1,3.8224707,0.323447532,2.325046089,0.7104728,0.9919056,1.1694664,1.6249088,2.3784824,3.135188,10.5909392,0.002775581
0.547717562,0.005352062,0.002037318,0.010647855,0.008185806,0.00312,1000,0,0,0.005,1.00E-05,0.01,0.001361074,0.010507578,7.169431686,64.41856421,0.006507464,0.006780243,0.006937301,0.007326034,0.007759987,0.008063804,0.010964642,R1D0.5d.625Case,5,1,1.27E-07,0.000381657,1.165905776,1.248,0.293016763,0.251321135,0.934219372,5.27E-06,0,0,2211.007804,-5,0.452282438,0.12953261,0.077,1.274409888,0.287467619,0.846730546,0.09631417,0.190093522,0.247319028,0.385763968,0.54431498,0.658088664,1.819167206,0.041659629
0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.002,10000,50000,0,0.005,1.00E-05,0.15,0.001806034,0.022330843,4.548438549,24.6697694,0.004171,0.004336032,0.004438629,0.004696937,0.004997597,0.005209928,0.007187669,aaE50000C10000D0.5dRatio0.8Case,4,1,3.35E-08,0.000100531,0.77669541,0.8,0.254993246,0.328305334,0.970869262,6.05E-06,637.755102,0,19253.69809,-5,0.519380742,0.080876212,2.628,41.58441039,0.186270436,0.956031694,1.658731148,2.72102541,3.235886066,4.367328689,5.612194262,6.441903279,12.52446557,4.02222653
0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.002,10000,100000,0,0.005,1.00E-05,0.15,0.001523102,0.02198919,4.447118759,23.16151325,0.004172187,0.004341563,0.004443503,0.004698123,0.004997763,0.005211332,0.007221289,aaE100000C10000D0.5dRatio0.8Case,4.15,1,3.35E-08,0.000100531,0.77669541,0.8,0.254993246,0.328305334,0.970869262,6.05E-06,1275.510204,0,19253.69809,-5,0.519380742,0.069265944,0.8028,133.8807569,0.992057896,5.144960133,0.344030303,0.519927273,0.62009697,0.888184848,1.321384848,1.835042424,12.61245758,0.061668459
0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.00175,10000,300000,0,0.005,1.00E-05,0.15,0.001215879,0.015197468,5.840838432,41.20506205,0.0036771,0.003820758,0.003906057,0.004121334,0.004376135,0.004557026,0.00634096,aaE300000C10000D0.5dRatio0.7Case,3.39,1,2.24E-08,6.73E-05,0.679608483,0.7,0.22311909,0.328305334,0.970869262,5.29E-06,4373.177843,0,19253.69809,-5,0.519380742,0.080005367,1.8,133.8807569,0.992057896,5.144960133,125.5244933,140.14684,147.5233667,160.31284,173.9601467,184.4906533,299.7803533,77.24407679
