,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,Fluid_Velocity,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.574322119,0.00262056,0.000983163,0.007460752,0.006092333,0.00082,1000,0,0,0.0025,0.01,0.00477383,0.13422677,1.689465761,2.102629666,0.002247638,0.00258376,0.002821125,0.00378011,0.005712134,0.007162119,0.016384478,R0.1D0.25d.1650Case,500000,TRUE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00033,1000,0,0,0.001,0.01,0.003243566,0.11684911,2.014243364,3.910558152,0.000920995,0.001122062,0.001300928,0.002441268,0.004402841,0.005746429,0.014120924,R0.5D0.1d.066Case,500000,TRUE
0,0.678587362,0.001338123,0.00238272,0.011168126,0.008227126,0.00016,1000,0,0,0.001,0.01,0.1362717,0.24698775,1.76195395,4.949171337,0.002143573,0.004977055,0.006385807,0.009276274,0.012004912,0.013719702,0.024923942,R1D0.1d.033Case,500000,FALSE
0,0.621722944,0.00106842,0.000649468,0.007504136,0.006019349,0.00012,1000,0,0,0.001,0.01,0.392351,0.7411329,10.50757694,131.226913,0.019534,0.02299241,0.024268963,0.026777789,0.029872077,0.032131406,0.048643853,R0.1D0.1d.025Case,500000,FALSE
0,0.678587362,0.001338123,0.00238272,0.011168126,0.008227126,0.00012,1000,0,0,0.001,0.01,0.392351,0.7264146,11.40413189,151.1848504,0.018209758,0.021743914,0.023082369,0.025872909,0.028843819,0.031037531,0.047403956,R1D0.1d.025Case,500000,FALSE
0,0.477321349,0.00517395,0.001522441,0.007411181,0.006130611,0.00082,1000,0,0,0.005,0.01,0.25980812,0.31096426,0.874883711,0.388508895,0.006596325,0.008998446,0.010006474,0.011978116,0.014017765,0.015368484,0.025041391,R0.1D0.5d.165Case,500000,FALSE
0,0.574322119,0.00262056,0.000983163,0.007460752,0.006092333,0.00156,1000,0,0,0.0025,0.01,0.000675661,0.012919224,8.515171051,80.17655357,0.003234557,0.003389897,0.003479791,0.003693806,0.003933882,0.004106636,0.006297351,R0.1D0.25d.3125Case,500000,TRUE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00037,1000,0,0,0.001,0.01,0.002201127,0.11090652,2.10401535,4.372102694,0.001065557,0.001283366,0.001463368,0.002395335,0.004341782,0.005716443,0.014246479,R0.5D0.1d.075Case,500000,TRUE
0,0.547717562,0.005352062,0.002037318,0.010647855,0.008185806,0.00187,1000,0,0,0.005,0.01,0.000721464,0.034648944,5.139546394,28.94683288,0.004424209,0.004832814,0.005010819,0.005432825,0.005966171,0.006394826,0.012888325,R1D0.5d.375Case,371000,TRUE
0,0.574322119,0.00262056,0.000983163,0.007460752,0.006092333,0.00093,1000,0,0,0.0025,0.01,0.000207326,0.0835249,2.465155125,5.830569759,0.002542015,0.002796148,0.002952076,0.003389176,0.004215181,0.005161722,0.013765636,R0.1D0.25d.1875Case,472000,TRUE
0,0.564020022,0.002660207,0.001157669,0.008335347,0.006310623,0.00062,1000,0,0,0.0025,0.01,0.18541057,0.24119723,0.971717656,0.335070875,0.003218499,0.005886601,0.006963139,0.008991892,0.010946556,0.012233894,0.021394233,R0.5D0.25d.125Case,500000,FALSE
